Student_Roll_No,Course_ID
CT-24001,ML101
CT-24001,OOP201
CT-24001,AI401
CT-24001,DS501
CT-24001,SE701
CT-24002,OOP201
CT-24002,DB301
CT-24002,DS501
CT-24002,CN601
CT-24002,WD801
CT-24003,ML101
CT-24003,DB301
CT-24003,AI401
CT-24003,CN601
CT-24003,SE701
CT-24004,OOP201
CT-24004,AI401
CT-24004,DS501
CT-24004,WD801
CT-24004,CC901
CT-24005,ML101
CT-24005,DB301
CT-24005,DS501
CT-24005,SE701
CT-24005,CY102
CT-24006,OOP201
CT-24006,AI401
CT-24006,CN601
CT-24006,WD801
CT-24006,CC901
CT-24007,ML101
CT-24007,DB301
CT-24007,AI401
CT-24007,SE701
CT-24007,CY102
CT-24008,OOP201
CT-24008,DS501
CT-24008,CN601
CT-24008,CC901
CT-24008,CY102
CT-24009,ML101
CT-24009,DB301
CT-24009,DS501
CT-24009,WD801
CT-24009,CY102
CT-24010,OOP201
CT-24010,AI401
CT-24010,CN601
CT-24010,SE701
CT-24010,CC901
CT-24011,ML101
CT-24011,OOP201
CT-24011,DB301
CT-24011,AI401
CT-24011,DS501
CT-24012,OOP201
CT-24012,DB301
CT-24012,AI401
CT-24012,DS501
CT-24013,DB301
CT-24013,AI401
CT-24013,DS501
CT-24013,CN601
CT-24013,SE701
CT-24014,AI401
CT-24014,DS501
CT-24014,CN601
CT-24014,SE701
CT-24015,DS501
CT-24015,CN601
CT-24015,SE701
CT-24015,WD801
CT-24015,CC901
CT-24016,CN601
CT-24016,SE701
CT-24016,WD801
CT-24016,CC901
CT-24017,ML101
CT-24017,SE701
CT-24017,WD801
CT-24017,CC901
CT-24017,CY102
CT-24018,ML101
CT-24018,OOP201
CT-24018,WD801
CT-24018,CC901
CT-24019,ML101
CT-24019,OOP201
CT-24019,DB301
CT-24019,CC901
CT-24019,CY102
CT-24020,ML101
CT-24020,OOP201
CT-24020,DB301
CT-24020,AI401
CT-24021,OOP201
CT-24021,DB301
CT-24021,AI401
CT-24021,DS501
CT-24021,CN601
CT-24022,DB301
CT-24022,AI401
CT-24022,DS501
CT-24022,CN601
CT-24023,AI401
CT-24023,DS501
CT-24023,CN601
CT-24023,SE701
CT-24023,WD801
CT-24024,DS501
CT-24024,CN601
CT-24024,SE701
CT-24024,WD801
CT-24025,CN601
CT-24025,SE701
CT-24025,WD801
CT-24025,CC901
CT-24025,CY102
CT-24026,SE701
CT-24026,WD801
CT-24026,CC901
CT-24026,CY102
CT-24027,ML101
CT-24027,WD801
CT-24027,CC901
CT-24027,CY102
CT-24027,OOP201
CT-24028,ML101
CT-24028,OOP201
CT-24028,CC901
CT-24028,CY102
CT-24029,ML101
CT-24029,OOP201
CT-24029,DB301
CT-24029,CY102
CT-24029,AI401
CT-24030,ML101
CT-24030,OOP201
CT-24030,DB301
CT-24030,AI401
CT-24031,OOP201
CT-24031,DB301
CT-24031,AI401
CT-24031,DS501
CT-24031,CN601
CT-24032,DB301
CT-24032,AI401
CT-24032,DS501
CT-24032,CN601
CT-24033,AI401
CT-24033,DS501
CT-24033,CN601
CT-24033,SE701
CT-24033,WD801
CT-24034,DS501
CT-24034,CN601
CT-24034,SE701
CT-24034,WD801
CT-24035,CN601
CT-24035,SE701
CT-24035,WD801
CT-24035,CC901
CT-24035,CY102
CT-24036,SE701
CT-24036,WD801
CT-24036,CC901
CT-24036,CY102
CT-24037,ML101
CT-24037,WD801
CT-24037,CC901
CT-24037,CY102
CT-24037,OOP201
CT-24038,ML101
CT-24038,OOP201
CT-24038,CC901
CT-24038,CY102
CT-24039,ML101
CT-24039,OOP201
CT-24039,DB301
CT-24039,CY102
CT-24039,AI401
CT-24040,ML101
CT-24040,OOP201
CT-24040,DB301
CT-24040,AI401
CT-24041,OOP201
CT-24041,DB301
CT-24041,AI401
CT-24041,DS501
CT-24041,CN601
CT-24042,DB301
CT-24042,AI401
CT-24042,DS501
CT-24042,CN601
CT-24043,AI401
CT-24043,DS501
CT-24043,CN601
CT-24043,SE701
CT-24043,WD801
CT-24044,DS501
CT-24044,CN601
CT-24044,SE701
CT-24044,WD801
CT-24045,CN601
CT-24045,SE701
CT-24045,WD801
CT-24045,CC901
CT-24045,CY102
CT-24046,SE701
CT-24046,WD801
CT-24046,CC901
CT-24046,CY102
CT-24047,ML101
CT-24047,WD801
CT-24047,CC901
CT-24047,CY102
CT-24047,OOP201
CT-24048,ML101
CT-24048,OOP201
CT-24048,CC901
CT-24048,CY102
CT-24049,ML101
CT-24049,OOP201
CT-24049,DB301
CT-24049,CY102
CT-24049,AI401
CT-24050,ML101
CT-24050,OOP201
CT-24050,DB301
CT-24050,AI401
CT-24051,OOP201
CT-24051,DB301
CT-24051,AI401
CT-24051,DS501
CT-24051,CN601
CT-24052,DB301
CT-24052,AI401
CT-24052,DS501
CT-24052,CN601
CT-24053,AI401
CT-24053,DS501
CT-24053,CN601
CT-24053,SE701
CT-24053,WD801
CT-24054,DS501
CT-24054,CN601
CT-24054,SE701
CT-24054,WD801
CT-24055,CN601
CT-24055,SE701
CT-24055,WD801
CT-24055,CC901
CT-24055,CY102
CT-24056,SE701
CT-24056,WD801
CT-24056,CC901
CT-24056,CY102
CT-24057,ML101
CT-24057,WD801
CT-24057,CC901
CT-24057,CY102
CT-24057,OOP201
CT-24058,ML101
CT-24058,OOP201
CT-24058,CC901
CT-24058,CY102
CT-24059,ML101
CT-24059,OOP201
CT-24059,DB301
CT-24059,CY102
CT-24059,AI401
CT-24060,ML101
CT-24060,OOP201
CT-24060,DB301
CT-24060,AI401
CT-24061,OOP201
CT-24061,DB301
CT-24061,AI401
CT-24061,DS501
CT-24061,CN601
CT-24062,DB301
CT-24062,AI401
CT-24062,DS501
CT-24062,CN601
CT-24063,AI401
CT-24063,DS501
CT-24063,CN601
CT-24063,SE701
CT-24063,WD801
CT-24064,DS501
CT-24064,CN601
CT-24064,SE701
CT-24064,WD801
CT-24065,CN601
CT-24065,SE701
CT-24065,WD801
CT-24065,CC901
CT-24065,CY102
CT-24066,SE701
CT-24066,WD801
CT-24066,CC901
CT-24066,CY102
CT-24067,ML101
CT-24067,WD801
CT-24067,CC901
